behavior_id,confidence,context,date_precision,description,evidence_kind,observation_id,observed_at,profile_key,source_refs
decisive_action_under_pressure,0.98,crewed spaceflight emergency,day,"During the Gemini VIII emergency, Armstrong undocked and used re-entry controls to regain control before an emergency landing.",documented_action,OBS-ARMSTRONG-GEMINI8-DECISION,1966-03-16,neil_armstrong,"[""NASA_APOLLO_BIOS""]"
procedural_execution,1.0,Apollo 11 lunar landing,day,Armstrong served as Apollo 11 commander and piloted the first crewed lunar landing mission.,documented_role_and_action,OBS-ARMSTRONG-APOLLO11-PROCEDURE,1969-07-20,neil_armstrong,"[""NASA_ARMSTRONG_BIO"", ""NASA_APOLLO_BIOS""]"
technical_innovation,0.95,aeronautics research administration,year,Armstrong coordinated NASA aeronautics research and technology work and helped transfer digital fly-by-wire technology to industry.,documented_technical_contribution,OBS-ARMSTRONG-AERONAUTICS-INNOVATION,1970-01-01,neil_armstrong,"[""NASA_ARMSTRONG_BIO""]"
procedural_execution,0.98,Gemini and Apollo procedure development,day,"Aldrin systematically developed procedures and tools for orbital rendezvous, docking, and extravehicular activity.",documented_technical_contribution,OBS-ALDRIN-RENDEZVOUS-PROCEDURE,1966-11-11,buzz_aldrin,"[""NASA_APOLLO_BIOS""]"
technical_innovation,0.98,spaceflight method development,day,Aldrin developed rendezvous and EVA methods described by NASA as critical to Gemini and Apollo operations.,documented_technical_contribution,OBS-ALDRIN-RENDEZVOUS-INNOVATION,1966-11-11,buzz_aldrin,"[""NASA_APOLLO_BIOS"", ""NASA_ALDRIN_BIO""]"
nonviolent_collective_leadership,0.99,civil-rights collective action,day,King accepted leadership of the Montgomery bus boycott and sustained an explicitly nonviolent civil-rights campaign.,documented_leadership,OBS-KING-NONVIOLENT-LEADERSHIP,1955-12-05,martin_luther_king_jr,"[""NOBEL_KING_FACTS"", ""NOBEL_KING_BIO""]"
persistence_under_adversity,0.99,Montgomery bus boycott,day,"King continued the 382-day boycott despite arrest, bombing of his home, violence, and personal abuse.",documented_sustained_action,OBS-KING-PERSISTENCE,1956-12-21,martin_luther_king_jr,"[""NOBEL_KING_BIO""]"
persistence_under_adversity,0.98,anti-apartheid struggle and release,day,Mandela continued political leadership after decades of imprisonment and became ANC president after release.,documented_sustained_action,OBS-MANDELA-PERSISTENCE,1990-02-11,nelson_mandela,"[""NOBEL_MANDELA_QA""]"
reconciliation_cooperation,1.0,negotiated democratic transition,day,Mandela and de Klerk were recognized for work toward peaceful termination of apartheid and a democratic South Africa.,institutionally_documented_outcome,OBS-MANDELA-RECONCILIATION,1993-12-10,nelson_mandela,"[""NOBEL_MANDELA_1993""]"
institution_building,0.99,democratic state transition,day,Mandela became the first democratically elected president of South Africa after helping lay foundations for the new democratic state.,documented_institutional_role,OBS-MANDELA-INSTITUTION,1994-05-10,nelson_mandela,"[""NOBEL_MANDELA_1993"", ""NOBEL_MANDELA_QA""]"
institution_building,0.98,technology company formation and leadership,day,Gates co-founded Microsoft and led it as a major software and services organization.,documented_institutional_role,OBS-GATES-MICROSOFT-INSTITUTION,1975-04-04,bill_gates,"[""GATES_LEADERSHIP_BIO""]"
technical_innovation,0.95,personal-computing software,day,Gates co-founded and led a company centered on business and personal software and services.,documented_technical_role,OBS-GATES-SOFTWARE-INNOVATION,1975-04-04,bill_gates,"[""GATES_LEADERSHIP_BIO""]"
institution_building,0.98,philanthropic institution formation,year,"Gates helped establish and direct a durable foundation working across global health, development, and education.",documented_institutional_role,OBS-GATES-FOUNDATION-INSTITUTION,2000-01-01,bill_gates,"[""GATES_FOUNDATION_STORY"", ""GATES_LEADERSHIP_BIO""]"
