name,birth_date,birth_time,birth_place
Homer,-0800-01-01,Unknown,"Ionia, Greece"
Virgil,-0070-10-15,Unknown,"Mantua, Italy"
Ovid,-0043-03-20,Unknown,"Sulmona, Italy"
Dante Alighieri,1265-05-21,Unknown,"Florence, Italy"
Geoffrey Chaucer,1343-01-01,Unknown,"London, England"
Miguel de Cervantes,1547-09-29,Unknown,"Alcalá de Henares, Spain"
William Shakespeare,1564-04-23,Unknown,"Stratford-upon-Avon, England"
John Milton,1608-12-09,Unknown,"London, England"
Molière,1622-01-15,Unknown,"Paris, France"
Jonathan Swift,1667-11-30,Unknown,"Dublin, Ireland"
Voltaire,1694-11-21,Unknown,"Paris, France"
Johann Wolfgang von Goethe,1749-08-28,Unknown,"Frankfurt, Germany"
William Blake,1757-11-28,Unknown,"London, England"
Jane Austen,1775-12-16,Unknown,"Steventon, England"
Mary Shelley,1797-08-30,Unknown,"London, England"
Edgar Allan Poe,1809-01-19,Unknown,"Boston, Massachusetts, USA"
Victor Hugo,1802-02-26,Unknown,"Besançon, France"
Charles Dickens,1812-02-07,Unknown,"Portsmouth, England"
Henry David Thoreau,1817-07-12,Unknown,"Concord, Massachusetts, USA"
Walt Whitman,1819-05-31,Unknown,"West Hills, New York, USA"
Herman Melville,1819-08-01,Unknown,"New York City, New York, USA"
Fyodor Dostoevsky,1821-11-11,Unknown,"Moscow, Russia"
Gustave Flaubert,1821-12-12,Unknown,"Rouen, France"
Emily Brontë,1818-07-30,Unknown,"Thornton, England"
Charlotte Brontë,1816-04-21,Unknown,"Thornton, England"
Leo Tolstoy,1828-09-09,Unknown,"Yasnaya Polyana, Russia"
Jules Verne,1828-02-08,Unknown,"Nantes, France"
Emily Dickinson,1830-12-10,Unknown,"Amherst, Massachusetts, USA"
Lewis Carroll,1832-01-27,Unknown,"Daresbury, England"
Mark Twain,1835-11-30,Unknown,"Florida, Missouri, USA"
Thomas Hardy,1840-06-02,Unknown,"Higher Bockhampton, England"
Arthur Conan Doyle,1859-05-22,Unknown,"Edinburgh, Scotland"
Oscar Wilde,1854-10-16,Unknown,"Dublin, Ireland"
Anton Chekhov,1860-01-29,Unknown,"Taganrog, Russia"
Rabindranath Tagore,1861-05-07,Unknown,"Kolkata, India"
Rudyard Kipling,1865-12-30,Unknown,"Mumbai, India"
H. G. Wells,1866-09-21,Unknown,"Bromley, England"
W. B. Yeats,1865-06-13,Unknown,"Dublin, Ireland"
Marcel Proust,1871-07-10,Unknown,"Paris, France"
James Joyce,1882-02-02,Unknown,"Dublin, Ireland"
Franz Kafka,1883-07-03,Unknown,"Prague, Czech Republic"
Virginia Woolf,1882-01-25,Unknown,"London, England"
T. S. Eliot,1888-09-26,Unknown,"St. Louis, Missouri, USA"
Agatha Christie,1890-09-15,Unknown,"Torquay, England"
J. R. R. Tolkien,1892-01-03,Unknown,"Bloemfontein, South Africa"
Aldous Huxley,1894-07-26,Unknown,"Godalming, England"
Ernest Hemingway,1899-07-21,Unknown,"Oak Park, Illinois, USA"
George Orwell,1903-06-25,Unknown,"Motihari, India"
Pablo Neruda,1904-07-12,Unknown,"Parral, Chile"
Jean-Paul Sartre,1905-06-21,Unknown,"Paris, France"
Samuel Beckett,1906-04-13,Unknown,"Dublin, Ireland"
Albert Camus,1913-11-07,Unknown,"Mondovi, Algeria"
Octavio Paz,1914-03-31,Unknown,"Mexico City, Mexico"
Arthur C. Clarke,1917-12-16,Unknown,"Minehead, England"
Aleksandr Solzhenitsyn,1918-12-11,Unknown,"Kislovodsk, Russia"
Ray Bradbury,1920-08-22,Unknown,"Waukegan, Illinois, USA"
Jack Kerouac,1922-03-12,Unknown,"Lowell, Massachusetts, USA"
Maya Angelou,1928-04-04,Unknown,"St. Louis, Missouri, USA"
Ursula K. Le Guin,1929-10-21,Unknown,"Berkeley, California, USA"
Toni Morrison,1931-02-18,Unknown,"Lorain, Ohio, USA"
Cormac McCarthy,1933-07-20,Unknown,"Providence, Rhode Island, USA"
Margaret Atwood,1939-11-18,Unknown,"Ottawa, Canada"
Haruki Murakami,1949-01-12,Unknown,"Kyoto, Japan"
Stephen King,1947-09-21,Unknown,"Portland, Maine, USA"
Neil Gaiman,1960-11-10,Unknown,"Portchester, England"
J. K. Rowling,1965-07-31,Unknown,"Yate, England"
